name,site,phone,full_address,city,postal_code,state,latitude,longitude,photo,working_hours,business_status,description,location_link
Rob Fleming Dog Park,,,"6535 Creekside Forest Dr, Spring, TX 77389",Spring,77389,Texas,30.1472354,-95.5189584,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7FmgW9nx-blU7tsCtwZvfyfaBTMcwvPkZDFg4nzo2gQRmAfd5rgIdkqYwPsYOHCwVsrZAiSKBiWqlD1EHxvAn8wNguA2oMCweqBzhRHVXVBJJYMNVrpRrnF4eEFnj1AGzOhu4Qw=w800-h500-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""12-8AM,11AM-12AM"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",OPERATIONAL,,"https://www.google.com/maps/place/Rob+Fleming+Dog+Park/@30.1472354,-95.5189584,14z/data=!4m8!1m2!2m1!1sRob+Fleming+Dog+Park!3m4!1s0x8647313a4950945b:0x786be4c5117db7c3!8m2!3d30.1472354!4d-95.5189584"
Grand Central Lake House Dog Park,,,"1075 Town Park Dr, Conroe, TX 77304",Conroe,77304,Texas,30.267394,-95.472044,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq5cOGzdfl2MJSwrQdqYZBXidRxRMPZMp4I8ZFwxxGrLanYdvhktn3NRVU5aS5F5QX519DCBm2y1WGwaqx7sOLi-XVh-3IGu9l_s2kL0rMKei_0G0x4o7Zfcmku9_2OMpmoFm_-EQ=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Grand+Central+Lake+House+Dog+Park/@30.267394,-95.472044,14z/data=!4m8!1m2!2m1!1sGrand+Central+Lake+House+Dog+Park!3m4!1s0x8647390015d62053:0x95850142a136f57f!8m2!3d30.267394!4d-95.472044"
Kristydogdaycaredogwalker,,+1 713-437-9713,"16898 Canary St, Conroe, TX 77385",Conroe,77385,Texas,30.2140096,-95.4321603,https://lh3.googleusercontent.com/p/AF1QipOGU9OACPXzHEK3aPBJ7HBYuYmzjCMb_mQx2nUv=w800-h500-k-no,"{""Sunday"": ""6AM-6PM"", ""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""6AM-6PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Kristydogdaycaredogwalker/@30.214009599999997,-95.43216029999999,14z/data=!4m8!1m2!2m1!1sKristydogdaycaredogwalker!3m4!1s0x8647378d1e3ea2fd:0x6f8248c15d0913b4!8m2!3d30.214009599999997!4d-95.43216029999999"
Dogtopia of The Woodlands North,https://www.dogtopia.com/thewoodlandsnorth/,+1 832-308-3664,"463 FM 1488, Conroe, TX 77384",Conroe,77384,Texas,30.2355772,-95.4652113,https://lh3.googleusercontent.com/p/AF1QipNpS_4nWN9lPono2LLOtATEim0Si5M82J83p9UX=w800-h500-k-no,"{""Sunday"": ""12-4PM"", ""Monday"": ""6:30AM-7PM"", ""Tuesday"": ""6:30AM-7PM"", ""Wednesday"": ""6:30AM-7PM"", ""Thursday"": ""6:30AM-7PM"", ""Friday"": ""6:30AM-7PM"", ""Saturday"": ""8AM-4PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Dogtopia+of+The+Woodlands+North/@30.235577199999998,-95.46521129999999,14z/data=!4m8!1m2!2m1!1sDogtopia+of+The+Woodlands+North!3m4!1s0x86473960212c3301:0xf10e511fbaa39965!8m2!3d30.235577199999998!4d-95.46521129999999"
Harper's Landing Dog Park,,,"Conroe, TX 77385",Conroe,77385,Texas,30.2177671,-95.4453253,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDp_eTPAI1whcjyV5sUuUyGbh5pMczmOck24qYPUA2TTJ3PKj6u9860nMuqLS6NZo5ADJwT2ZmdPqFSE4o7A3Lx7cPoklKe4gH6mrXECRiauJMRoCCLvUCddhMXAKfB4P7BYkm=w800-h500-k-no,"{""Sunday"": ""7AM-9PM"", ""Monday"": ""7AM-9PM"", ""Tuesday"": ""7AM-9PM"", ""Wednesday"": ""7AM-9PM"", ""Thursday"": ""7AM-9PM"", ""Friday"": ""7AM-9PM"", ""Saturday"": ""7AM-9PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Harper%27s+Landing+Dog+Park/@30.2177671,-95.4453253,14z/data=!4m8!1m2!2m1!1sHarper%27s+Landing+Dog+Park!3m4!1s0x8647377015f9438f:0x4ab320a30f7c8ba6!8m2!3d30.2177671!4d-95.4453253"
HCMUD dog park,,,"4114 Great Forest Ct, Humble, TX 77346",Humble,77346,Texas,29.9643514,-95.2068225,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npp9G2mAD388b0kDsxp2RxYxozM0180bH3WGWyVnK6i2ULmgns1YRRnVHau2lj68OFA2AIlb3QpEaMnfJ3rUPi5QdCd2MMjZ6g4n9Lp_jbvQKgssyuStnQnppflPmuO7onToihRvg=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/HCMUD+dog+park/@29.964351399999998,-95.2068225,14z/data=!4m8!1m2!2m1!1sHCMUD+dog+park!3m4!1s0x8640ad71c3dac5db:0xbddc097cb48fb011!8m2!3d29.964351399999998!4d-95.2068225"
Trail of the Lakes MUD Dog Park,,,"Humble, TX 77396",Humble,77396,Texas,29.9639666,-95.2063596,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqdKibuymhxv3-0jmWPjcLp_j6S7qjQOARC-iIfyjrgNjT5uZBglPzbYvHXiCcbpeVh9rLWjcEw_yrR2OcQdcUawDuclS6bqXdDa1NbzMAZfWRv0OffYNGzKb_qO2B7Ihh6JaaOCg=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Trail+of+the+Lakes+MUD+Dog+Park/@29.9639666,-95.2063596,14z/data=!4m8!1m2!2m1!1sTrail+of+the+Lakes+MUD+Dog+Park!3m4!1s0x8640ade59ccc2395:0x9880ba9362e649fd!8m2!3d29.9639666!4d-95.2063596"
Z Bonz Dog Park,,,"6950 Camp Bowie W Blvd, Fort Worth, TX 76116",Fort Worth,76116,Texas,32.7221055,-97.4375527,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npMdgTpFV_PG-RM93bkNL2sb7rV1flkG9rqRFhHZbUWzBBBipBxV_oU-svS6fKUSPcmGLFPa9gZwaXjOs0uhG08CXxUXKbCWv3MYOXDezws3qJeDaraJ6V3OEs6l0syDWQZz158qA=w800-h500-k-no,"{""Sunday"": ""5:30AM-11:30PM"", ""Monday"": ""5:30AM-11:30PM"", ""Tuesday"": ""5:30AM-11:30PM"", ""Wednesday"": ""Closed"", ""Thursday"": ""5:30AM-11:30PM"", ""Friday"": ""5:30AM-11:30PM"", ""Saturday"": ""5:30AM-11:30PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Z+Bonz+Dog+Park/@32.7221055,-97.4375527,14z/data=!4m8!1m2!2m1!1sZ+Bonz+Dog+Park!3m4!1s0x864e72d548c72f13:0xd367a765d22af774!8m2!3d32.7221055!4d-97.4375527"
Officer Lucy Dog Park,https://www.bellairetx.gov/739/Dog-Park,+1 713-662-8280,"4300 Edith St, Bellaire, TX 77401",Bellaire,77401,Texas,29.6909746,-95.4477182,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nosidEOeF6pRVEmYUquNlXFyvZ_IhHecOHdytS2rBWLtr0Gl16AT8PdsLm9RT_oeOhAV-aPE-LAkHcnsFKFIoRMLvcmM0sG3lE1F_BioMBHFI5NpZ-71n_w9sMFu16Fh8JjQrvn=w800-h500-k-no,"{""Sunday"": ""5AM-9:30PM"", ""Monday"": ""5AM-9:30PM"", ""Tuesday"": ""5AM-9:30PM"", ""Wednesday"": ""5AM-9:30PM"", ""Thursday"": ""5AM-9:30PM"", ""Friday"": ""5AM-9:30PM"", ""Saturday"": ""5AM-9:30PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Officer+Lucy+Dog+Park/@29.690974599999997,-95.4477182,14z/data=!4m8!1m2!2m1!1sOfficer+Lucy+Dog+Park!3m4!1s0x8640c1c5128b8b75:0x82aee4887126e619!8m2!3d29.690974599999997!4d-95.4477182"
Dog park,http://www.pct3.com/dog-parks/#danny-jackson-family-dog-park,+1 281-496-2177,"4717-4883 Westpark Dr, Houston, TX 77027",Houston,77027,Texas,29.7262171,-95.4573133,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqzd6VKhy-L0L4CWVWx2m1jgVeJ-cCMcMC5y9GLHzjz44JetY6F0phQJK3rFjzThc2Rabe6hNiSBJlQQCDPwn6lOcoRIrlKdw41CCkNSrutoc8fErDDZwWrmcECgFYpXU0ygSqF=w800-h500-k-no,"{""Sunday"": ""5AM-10PM"", ""Monday"": ""5AM-10PM"", ""Tuesday"": ""5AM-10PM"", ""Wednesday"": ""5AM-10PM"", ""Thursday"": ""5AM-10PM"", ""Friday"": ""5AM-10PM"", ""Saturday"": ""5AM-10PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Dog+park/@29.7262171,-95.4573133,14z/data=!4m8!1m2!2m1!1sDog+park!3m4!1s0x8640c174d727a997:0x3dbaae87726187e6!8m2!3d29.7262171!4d-95.4573133"
Danny Jackson Family Bark Park,,+1 281-496-2177,"4828 1/2 Loop Central Dr, Houston, TX 77081",Houston,77081,Texas,29.726271,-95.457111,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noSz9VhcUviiAn4xMGxEl2P46kJ0CqabDH98j5b0VyL9jBHqd_lt95pcWiV8qrY1QG8SdJFk--I8H2hwq_NHAjTV5pyHWr47jZXznD7I98HeDwnS1IZ4Z5P9VDgKcusu_5WwPMy=w800-h500-k-no,"{""Sunday"": ""5AM-10PM"", ""Monday"": ""5AM-10PM"", ""Tuesday"": ""5AM-10PM"", ""Wednesday"": ""5AM-10PM"", ""Thursday"": ""5AM-10PM"", ""Friday"": ""5AM-10PM"", ""Saturday"": ""5AM-10PM""}",OPERATIONAL,"Green space for off-leash dogs with sections for small & large pups, plus a dog swimming pool.","https://www.google.com/maps/place/Danny+Jackson+Family+Bark+Park/@29.726270999999997,-95.457111,14z/data=!4m8!1m2!2m1!1sDanny+Jackson+Family+Bark+Park!3m4!1s0x8640c10afa0f8585:0x6a3ef736eb6e15ca!8m2!3d29.726270999999997!4d-95.457111"
Park for Humans and Dogs,,,"901 Sawyer St, Houston, TX 77007",Houston,77007,Texas,29.7672958,-95.3830718,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noqM_pw7c6ynLaT97GdXn7V7cUgNrgkF1HVM9AOGseRKxc3GPTcF6D2nsyPISVZJg0esj_rQVv1JDCPBBrFZUgDnuLpSPZe5XcDoE2kiVBOulHUW3eFrey4RmYsGkxrm1cA7rQ=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Park+for+Humans+and+Dogs/@29.7672958,-95.3830718,14z/data=!4m8!1m2!2m1!1sPark+for+Humans+and+Dogs!3m4!1s0x8640bf4de5576d89:0x7d70ce53dcce381f!8m2!3d29.7672958!4d-95.3830718"
Congressman Bill Archer Dog Park,https://cp4.harriscountytx.gov/dogparks,+1 281-353-8100,"3201 Hwy 6, Houston, TX 77084",Houston,77084,Texas,29.816841,-95.6468818,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npcn7ukHuURFvUsbqBb6wzqar-Jo5gHkUZWDCRpWtcuRlpc55VBTiS3uLBYhf3UW2ocyaWhudocsDeA0YclHI786K-wXSCa6-aEhrDdv1yskn31gtGTxCotiit_SkQ0gzgTq893iw=w800-h500-k-no,"{""Sunday"": ""7AM-8:30PM"", ""Monday"": ""7AM-8:30PM"", ""Tuesday"": ""7AM-8:30PM"", ""Wednesday"": ""7AM-8:30PM"", ""Thursday"": ""7AM-8:30PM"", ""Friday"": ""7AM-8:30PM"", ""Saturday"": ""7AM-8:30PM""}",OPERATIONAL,"Dog park split in 2 sections by dog size, offering walking trails, agility courses & wash stations.","https://www.google.com/maps/place/Congressman+Bill+Archer+Dog+Park/@29.816841,-95.6468818,14z/data=!4m8!1m2!2m1!1sCongressman+Bill+Archer+Dog+Park!3m4!1s0x8640d98792729063:0xdf8edccea5fc13e!8m2!3d29.816841!4d-95.6468818"
Bark Park,,,"4700 Westpark Dr, Houston, TX 77027",Houston,77027,Texas,29.7262458,-95.4551651,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq99fq_gaSi5HfvvBBQZjaTVaG-_6ZnAZ_aYNNUwpkagO5JcpwghZdWwGWcZ7M1aQLPRJkbAH0qj8KwLAcxhQYhX_DZkpRNeKT7HpTzItulM6yFZhvCNBRy5FAzE2PbPnZSmfcQ=w800-h500-k-no,"{""Sunday"": ""5AM-10PM"", ""Monday"": ""5AM-10PM"", ""Tuesday"": ""5AM-10PM"", ""Wednesday"": ""5AM-10PM"", ""Thursday"": ""5AM-10PM"", ""Friday"": ""5AM-10PM"", ""Saturday"": ""5AM-10PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Bark+Park/@29.726245799999997,-95.4551651,14z/data=!4m8!1m2!2m1!1sBark+Park!3m4!1s0x8640c10b07c52c7b:0x9c8d1ecae9684fbf!8m2!3d29.726245799999997!4d-95.4551651"
Millie Bush Dog Park,https://cp4.harriscountytx.gov/dogparks,+1 281-353-8100,"16101 Westheimer Rd, Houston, TX 77082",Houston,77082,Texas,29.7265593,-95.6686648,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfLa_0BTULy-5a7QrUq9xYiu2HXOGu4omHI9sZlBArlnmRYEzHF5OWbRj3AaYR6c_jKaBhAfZAuYMFDe_gls1TAbI_dGpx85qjzz0TSXPpA86MmOkJPTL747ZR6Kcgc2whmNOe=w800-h500-k-no,"{""Sunday"": ""7AM-7:30PM"", ""Monday"": ""7AM-7:30PM"", ""Tuesday"": ""7AM-7:30PM"", ""Wednesday"": ""7AM-7:30PM"", ""Thursday"": ""7AM-7:30PM"", ""Friday"": ""7AM-7:30PM"", ""Saturday"": ""7AM-7:30PM""}",OPERATIONAL,"Separate areas for small & large dogs, plus a walking trail, ponds & a dog shower.","https://www.google.com/maps/place/Millie+Bush+Dog+Park/@29.726559299999998,-95.6686648,14z/data=!4m8!1m2!2m1!1sMillie+Bush+Dog+Park!3m4!1s0x8640de98e738f4f1:0xc531d640129b2793!8m2!3d29.726559299999998!4d-95.6686648"
Danny Jackson dog park,,,"4828 Loop Central Dr, Houston, TX 77081",Houston,77081,Texas,29.7250853,-95.4550507,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zU6VpaKuhMgoeM9jpPkbGg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=345.81137&pitch=0&thumbfov=100,,OPERATIONAL,,"https://www.google.com/maps/place/Danny+Jackson+dog+park/@29.7250853,-95.4550507,14z/data=!4m8!1m2!2m1!1sDanny+Jackson+dog+park!3m4!1s0x8640c10040a580b9:0xcbefbecb964609cc!8m2!3d29.7250853!4d-95.4550507"
