name,site,phone,full_address,street,city,postal_code,state,country,latitude,longitude,photo,working_hours,business_status,about,description,location_link
Ida Reed Dog Park,http://www.beaumontcvb.com/listing/ida-reed-dog-park/609/,+1 409-861-1929,"2348 Louisiana Ave, Beaumont, TX 77702",2348 Louisiana Ave,Beaumont,77702,Texas,United States of America,30.095072499999997,-94.1219766,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFensusZnfnwRsfEDc_BnBkSnRNMaZjZOMO9BJ0T0NMkOt08VXuEHYqTcTA0HPlT_kwmbmrFjWtyQDPh6N4do_yvXdQoXYtVlMM7lM4jXDgKaj2KfBWqnZISXZD8fW-0vmePwX=w800-h500-k-no,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Picnic tables"": true, ""Slides"": true, ""Swings"": true}, ""Children"": {""Good for kids"": true, ""Playground"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",,"https://www.google.com/maps/place/Ida+Reed+Dog+Park/@30.095072499999997,-94.1219766,14z/data=!4m8!1m2!2m1!1sIda+Reed+Dog+Park!3m4!1s0x863934cd37d15a25:0x8fc84ac74e375a57!8m2!3d30.095072499999997!4d-94.1219766"
"Village Mills, TX 77663",,,"Village Mills, TX",,Village Mills,None,Texas,United States of America,30.5092793,-94.39970919999999,,,CLOSED_PERMANENTLY,{},,"https://www.google.com/maps/place/Village+Mills%2C+TX+77663/@30.5092793,-94.39970919999999,14z/data=!4m8!1m2!2m1!1sVillage+Mills%2C+TX+77663!3m4!1s0x8638e179c87846c3:0x50de1da18217fbd6!8m2!3d30.5092793!4d-94.39970919999999"
Anne Fracassa Memorial Dog Park,,,"7000 12 Mile Rd, Warren, MI 48092",7000 12 Mile Rd,Warren,48092,Michigan,United States of America,42.5029088,-83.0335626,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e3gkR00kgl-7jyjhjGZotQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=350.28903&pitch=0&thumbfov=100,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Pets"": {""Dogs allowed"": true}}",,"https://www.google.com/maps/place/Anne+Fracassa+Memorial+Dog+Park/@42.5029088,-83.0335626,14z/data=!4m8!1m2!2m1!1sAnne+Fracassa+Memorial+Dog+Park!3m4!1s0x8824dbe9f7d72b15:0x4de81bb4f3737d55!8m2!3d42.5029088!4d-83.0335626"
The Indoor Dog Park,http://www.theindoordogpark.org/,,"2714 Rochester Rd, Cranberry Twp, PA 16066",2714 Rochester Rd,Cranberry Twp,16066,Pennsylvania,United States of America,40.697043,-80.1311152,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPCG1xyPTkKvSTyow5oRdhC8_hb3JapwRGBp0aJDVZyWSeSenXeRftmIn8_9tV-R_WJtkMe9d6zaLpgalPdb7ewuTh-1YrVbAqKXx6_JClmHrfHFYPeEOB2_2QJmQeeymvB6HX=w800-h500-k-no,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}","The one and only true INDOOR Dog Park! Open 24-7, members can play all day and all night on 20,000 sqft of PupGrass!","https://www.google.com/maps/place/The+Indoor+Dog+Park/@40.697043,-80.1311152,14z/data=!4m8!1m2!2m1!1sThe+Indoor+Dog+Park!3m4!1s0x8834632e8b914ed1:0x901672f5666ca6a2!8m2!3d40.697043!4d-80.1311152"
Central Park,https://www.centralparknyc.org/,+1 212-310-6600,"New York, NY",,New York,None,New York,United States of America,40.7825547,-73.9655834,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqqmcgWa75kKeynZX1jMlEhxi1ub0XMsfVbmGVaXVRj3rpTfFl0ThgdGDgOsT-4eRrxcZdvFr_kC5vJmj4XEv4sbh8ZTeOz8KDFZQg5Qnk1kVT3QOF11lXoy3RPMsTrbmVJcXNNvw=w800-h500-k-no,"{""Monday"": ""6AM-1AM"", ""Tuesday"": ""6AM-1AM"", ""Wednesday"": ""6AM-1AM"", ""Thursday"": ""6AM-1AM"", ""Friday"": ""6AM-1AM"", ""Saturday"": ""6AM-1AM"", ""Sunday"": ""6AM-1AM""}",OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Highlights"": {""Picnics"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Baseball field"": true, ""Basketball court"": true, ""Has a tennis court"": true, ""Picnic tables"": true, ""Public restroom"": true, ""Skateboarding area"": true, ""Slides"": true, ""Swings"": true, ""Volleyball court"": true}, ""Payments"": {""Credit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Good for kids birthday"": true, ""Kid-friendly hikes"": true, ""Playground"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}","Sprawling park with pedestrian paths & ballfields, plus a zoo, carousel, boat rentals & a reservoir.","https://www.google.com/maps/place/Central+Park/@40.7825547,-73.9655834,14z/data=!4m8!1m2!2m1!1sCentral+Park!3m4!1s0x89c2589a018531e3:0xb9df1f7387a94119!8m2!3d40.7825547!4d-73.9655834"
Dog park @ Rogers Park,,,"1490 Marshall Pl Dr, Beaumont, TX 77706",1490 Marshall Pl Dr,Beaumont,77706,Texas,United States of America,30.0921557,-94.174174,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q0OK25CegOd28kB-egot7w&cb_client=search.gws-prod.gps&w=800&h=500&yaw=83.17913&pitch=0&thumbfov=100,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,"https://www.google.com/maps/place/Dog+park+%40+Rogers+Park/@30.0921557,-94.174174,14z/data=!4m8!1m2!2m1!1sDog+park+%40+Rogers+Park!3m4!1s0x863ecd0039616611:0x58283a958831eb3a!8m2!3d30.0921557!4d-94.174174"
Hudson Park - Dog Park and Agility Course,https://m.facebook.com/pages/Morris-Buzz-Hamilton-Memorial-Dog-Park/235077146656264,+1 979-209-5528,"Bryan, TX 77802",,Bryan,77802,Texas,United States of America,30.6578798,-96.29978709999999,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noqrAzUyMK6AjKe9PtI8esQdHmLdUkZnXnALXceEm4xqj9TBZJVcrkSYvDqfIyL4ZRfYjXKdQIed2mZMOmDL4jPkKXT9j7mxMP9v3waJKWCnpR8V9HUeGJvojXNbVXH8WYeqevC=w800-h500-k-no,"{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""6AM-10PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dogs allowed"": true}}",,"https://www.google.com/maps/place/Hudson+Park+-+Dog+Park+and+Agility+Course/@30.6578798,-96.29978709999999,14z/data=!4m8!1m2!2m1!1sHudson+Park+-+Dog+Park+and+Agility+Course!3m4!1s0x86468698c8935e91:0x1b6a00ec8838dea2!8m2!3d30.6578798!4d-96.29978709999999"
Morris “Buzz” Hamilton Park,https://www.bryantx.gov/parks-and-recreation/parks-and-facilities-listings/#buzz,+1 979-209-5528,"4890 Boonville Rd, Bryan, TX 77802",4890 Boonville Rd,Bryan,77802,Texas,United States of America,30.6584608,-96.2990401,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-DKusmWk0Sc6CCd7-w0Z-rzNia8zkBf39egEjYSAb8O8HDFnqBgVhHow6vGW7rZcFOzaQIWfWGnSJXx6Tlc8BXSIxl6qSdPklr2aGZpr6r5vwXpeBQCjqcXyKMXZyZC7unnm5=w800-h500-k-no,"{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""6AM-10PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true}, ""Pets"": {""Dogs allowed"": true}}",,"https://www.google.com/maps/place/Morris+%E2%80%9CBuzz%E2%80%9D+Hamilton+Park/@30.6584608,-96.2990401,14z/data=!4m8!1m2!2m1!1sMorris+%E2%80%9CBuzz%E2%80%9D+Hamilton+Park!3m4!1s0x86468698a2102afd:0xf43e433bf6eaa14a!8m2!3d30.6584608!4d-96.2990401"
University Park Dog Park,,+1 979-764-3486,"Parking lot, 403 Park Rd, College Station, TX 77840","Parking lot, 403 Park Rd",College Station,77840,Texas,United States of America,30.640801,-96.3225487,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaByuAnzpc0tnIxt-ltXWzioE2LR-HiV0RRFkOFqpqR04ls6zixlMjPpm9fVoiUWwu-yJ1xrwOP5tH7ypbYxvhUANR8Fskvw5QqmtUjTbiyc48pSljg9uRNU8cnE5GEYbPWrJP=w800-h500-k-no,"{""Monday"": ""5AM-11PM"", ""Tuesday"": ""5AM-11PM"", ""Wednesday"": ""5AM-11PM"", ""Thursday"": ""5AM-11PM"", ""Friday"": ""5AM-11PM"", ""Saturday"": ""5AM-11PM"", ""Sunday"": ""5AM-11PM""}",OPERATIONAL,"{""Highlights"": {""Picnics"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Picnic tables"": true, ""Swings"": true}, ""Children"": {""Good for kids"": true, ""Playground"": true}, ""Pets"": {""Dog park"": true}}",,"https://www.google.com/maps/place/University+Park+Dog+Park/@30.640801,-96.3225487,14z/data=!4m8!1m2!2m1!1sUniversity+Park+Dog+Park!3m4!1s0x864683f860c9239f:0x4fb76c43e71c8157!8m2!3d30.640801!4d-96.3225487"
The Dog Park,https://www.cityofandersonsc.com/parks/,,"415 N Fant St, Anderson, SC 29621",415 N Fant St,Anderson,29621,South Carolina,United States of America,34.5071109,-82.6465734,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nraiTrsQ1PNI9O31zPxa8141rlrkFnB-aaQbOan2UbwJCNCd4mZ5ToSPBbZtBevFcqf04uhPldI_bAq2RBts3unQm7xXsSlDt-W0hxS8XX2rIhwOtXD-hTE-npqwbpisuLJvnBM-w=w800-h500-k-no,"{""Monday"": ""6:30AM-9PM"", ""Tuesday"": ""6:30AM-9PM"", ""Wednesday"": ""6:30AM-9PM"", ""Thursday"": ""6:30AM-9PM"", ""Friday"": ""6:30AM-9PM"", ""Saturday"": ""6:30AM-9PM"", ""Sunday"": ""6:30AM-9PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dogs allowed"": true}}",,"https://www.google.com/maps/place/The+Dog+Park/@34.5071109,-82.6465734,14z/data=!4m8!1m2!2m1!1sThe+Dog+Park!3m4!1s0x88586dd516a8cc41:0x9fbf2e7c82ec051c!8m2!3d34.5071109!4d-82.6465734"
Barking Ranch Pet Resort,http://barkingranchtx.com/,+1 979-836-1956,"2455 US-290 BUS, Brenham, TX 77833",2455 US-290 BUS,Brenham,77833,Texas,United States of America,30.1664551,-96.43232069999999,https://lh3.googleusercontent.com/p/AF1QipMIZB4e8oDQU2ycOM2fQ1jpt2ZErIIm8gp1t0Bd=w800-h500-k-no,"{""Monday"": ""7:30AM-6PM"", ""Tuesday"": ""7:30AM-6PM"", ""Wednesday"": ""7:30AM-6PM"", ""Thursday"": ""7:30AM-6PM"", ""Friday"": ""7:30AM-6PM"", ""Saturday"": ""8AM-12PM"", ""Sunday"": ""1-4PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,"https://www.google.com/maps/place/Barking+Ranch+Pet+Resort/@30.1664551,-96.43232069999999,14z/data=!4m8!1m2!2m1!1sBarking+Ranch+Pet+Resort!3m4!1s0x8646a9ab54ca768b:0x8a8c4ea5682c2a16!8m2!3d30.1664551!4d-96.43232069999999"
Calvert,,,Texas 77837,,Calvert,77837,Texas,United States of America,30.9779651,-96.6738627,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noANgJxiBanXN676Dko8slz68Bz8Ilirf418hoq5kah29UI_ZGVqDsh3_FKZN5CSKhkqCv4xbl_N3UbWFqNhjUo7JmWr5paiUdX8Dav0o8qj3WI1JOX1WVWiyb3yO3MYkfrbG6K=w800-h500-k-no,,CLOSED_PERMANENTLY,{},"Calvert is a city in Robertson County, Texas, United States. As of the 2020 census, the city population was 970.","https://www.google.com/maps/place/Calvert/@30.9779651,-96.6738627,14z/data=!4m8!1m2!2m1!1sCalvert!3m4!1s0x8645c696d6a54fcb:0xdf045e0a6e514284!8m2!3d30.9779651!4d-96.6738627"
Southern Pointe Dog Park,,,"6329 Southern Cross Dr, College Station, TX 77845",6329 Southern Cross Dr,College Station,77845,Texas,United States of America,30.5324119,-96.2131508,,,OPERATIONAL,{},,"https://www.google.com/maps/place/Southern+Pointe+Dog+Park/@30.5324119,-96.2131508,14z/data=!4m8!1m2!2m1!1sSouthern+Pointe+Dog+Park!3m4!1s0x864691006ebab409:0xfb0c8e4437fb15a7!8m2!3d30.5324119!4d-96.2131508"
